team,opponent,result
Wolverhampton Wanderers,Arsenal,L
Tottenham Hotspur,Manchester City,L
Chelsea,Liverpool,L
Chelsea,Leeds United,W
Arsenal,Manchester Utd,L
Manchester United,Arsenal,L
Watford,Leeds United,L
Crystal Palace,Wolves,L
Leeds United,Aston Villa,L
Chelsea,Liverpool,D
Manchester United,Leicester City,L
Chelsea,Crystal Palace,W
Newcastle United,Manchester Utd,L
Luton Town,West Ham,L
Brighton and Hove Albion,Norwich City,W
Leicester City,Everton,W
Wolverhampton Wanderers,Brighton,D
Leicester City,Chelsea,D
Bournemouth,Brighton,L
Watford,Liverpool,L
Everton,Manchester City,L
Brighton and Hove Albion,Bournemouth,W
Newcastle United,Bournemouth,L
Liverpool,Arsenal,W
Chelsea,Southampton,W
Southampton,Watford,W
Leeds United,Everton,L
Wolverhampton Wanderers,Chelsea,D
Wolverhampton Wanderers,Crystal Palace,D
West Ham United,Leeds United,W
Arsenal,Tottenham,L
Southampton,Liverpool,W
Wolverhampton Wanderers,West Ham,L
Wolverhampton Wanderers,Brighton,D
Manchester City,Sheffield Utd,W
West Bromwich Albion,Manchester City,D
Manchester City,Manchester Utd,W
Manchester City,Leicester City,L
Fulham,Bournemouth,W
Newcastle United,Wolves,D
Tottenham Hotspur,Manchester City,W
Sheffield United,Manchester Utd,L
Newcastle United,Aston Villa,W
Newcastle United,West Ham,W
Newcastle United,Tottenham,D
Burnley,Chelsea,L
Manchester City,Liverpool,D
Leicester City,Newcastle Utd,W
Newcastle United,Crystal Palace,L
West Ham United,Bournemouth,D
Fulham,Arsenal,D
Burnley,Everton,L
Southampton,Brighton,L
Fulham,Aston Villa,L
Southampton,Everton,D
Liverpool,Newcastle Utd,W
Leicester City,Tottenham,W
Bournemouth,Arsenal,L
Leeds United,Manchester City,L
Southampton,Sheffield Utd,W
Liverpool,Norwich City,W
Chelsea,Brentford,W
Leeds United,Leicester City,D
West Ham United,Tottenham,D
Fulham,Nott'ham Forest,L
Watford,Brighton,L
Chelsea,Tottenham,W
Bournemouth,Manchester City,L
Manchester City,Everton,W
Leicester City,Chelsea,D
Crystal Palace,West Ham,W
Chelsea,Brighton,L
Tottenham Hotspur,Chelsea,L
Aston Villa,West Ham,D
Fulham,Burnley,L
Arsenal,Tottenham,L
Brentford,Leicester City,D
Chelsea,Nott'ham Forest,D
Newcastle United,Crystal Palace,W
West Ham United,Brentford,L
Nottingham Forest,Arsenal,W
West Ham United,Chelsea,L
Sheffield United,Leicester City,L
Fulham,Bournemouth,D
Brighton and Hove Albion,Everton,L
Newcastle United,Manchester City,L
Leicester City,Southampton,W
Liverpool,Southampton,D
Crystal Palace,Aston Villa,L
Bournemouth,Nott'ham Forest,D
Newcastle United,West Ham,W
Manchester City,Crystal Palace,W
Aston Villa,Burnley,W
Tottenham Hotspur,Newcastle Utd,D
Arsenal,Liverpool,L
Wolverhampton Wanderers,Manchester City,L
Tottenham Hotspur,Leicester City,L
Norwich City,West Ham,L
Fulham,Manchester City,L
Tottenham Hotspur,Everton,D
Newcastle United,Brighton,W
Nottingham Forest,Brentford,L
Leicester City,West Ham,W
Brentford,Everton,L
Newcastle United,Fulham,W
Brighton and Hove Albion,Southampton,W
West Bromwich Albion,Crystal Palace,L
Brighton and Hove Albion,Arsenal,D
